1,Curren Taber,ctaber@chapman.edu,"1 University Drive Orange, CA 92866",2
2,Scott Fitzpatrick,sfitzpatrick@chapman.edu,"915 E Katella Ave Anaheim, CA 92805",27
3,Rene German,german@chapman.edu,"Steak and Lobster Lane Orange, CA 92805",3
4,Anthony Foley,afoley@chapman.edu,"431 Shaffer Ave Orange, CA 92866",14
5,Trent Johnson,tj@glue.com,"412 E Katella Ave Anaheim, CA 92806",21
6,Lucy Shupe,shupe@lmu.edu,"324 Sepulveda Blvd Venice, CA 91165",11
7,Sally Sue,sue@hotmail.edu,"5 West Star Street City Of Industry, CA 91148",16
8,Kelly Kapoor,kapoor@dundermifflin.com,"3 Paper Street Scranton, PA 23415",13
9,Kevin Malone,ashtonkutcher@dundermifflin.com,"3 Paper Street Scranton, PA 23415",17
10,Connor Martindale,martindale@chapman.edu,"123 Disneyland Road Anaheim, CA 92802",19
11,Derek Prate,prate@chapman.edu,"18342 Prate Ave Yorba Linda, CA 92879",24
12,Lucas Torti,torti@chapman.edu,"20 Gehrig Ave Fullerton, CA 92864",61
